DIA;CONC;MTT;%MTT
2;2;0,312;121,9146858
2;2;0,15;58,6128297
2;2;0,191;74,63366981
2;2;0,222;86,74698795
2;2;0,201;78,54119179
2;2;0,219;85,57473136
2;2;0,206;80,49495278
2;2;0,198;77,3689352
2;2;0,216;84,40247476
2;2;0,218;85,18397916
2;2;0,21;82,05796158
2;2;0,217;84,79322696
2;5;0,282;110,1921198
2;5;0,12;46,89026376
2;5;0,116;45,32725497
2;5;0,11;42,98274178
2;5;0,158;61,73884728
2;5;0,148;57,8313253
2;5;0,157;61,34809508
2;5;0,158;61,73884728
2;5;0,15;58,6128297
2;5;0,161;62,91110387
2;5;0,162;63,30185607
2;5;0,18;70,33539564
2;5;0,247;96,5157929
2;5;0,102;39,85672419
2;5;0,141;55,09605992
2;5;0,146;57,04982091
2;5;0,148;57,8313253
2;5;0,134;52,36079453
2;5;0,148;57,8313253
2;5;0,146;57,04982091
2;5;0,154;60,17583849
2;5;0,166;64,86486486
2;5;0,154;60,17583849
2;5;0,156;60,95734289
2;10;0,178;69,55389124
2;10;0,06;23,44513188
2;10;0,058;22,66362748
2;10;0,068;26,57114946
2;10;0,083;32,43243243
2;10;0,103;40,24747639
2;10;0,106;41,41973299
2;10;0,11;42,98274178
2;10;0,117;45,71800716
2;10;0,119;46,49951156
2;10;0,122;47,67176815
2;10;0,132;51,57929013
2;10;0,12;46,89026376
2;10;0,054;21,10061869
2;10;0,086;33,60468903
2;10;0,104;40,63822859
2;10;0,099;38,6844676
2;10;0,095;37,12145881
2;10;0,098;38,2937154
2;10;0,108;42,20123738
2;10;0,105;41,02898079
2;10;0,117;45,71800716
2;10;0,109;42,59198958
2;10;0,133;51,97004233
2;50;0,013;5,079778574
2;50;0,01;3,90752198
2;50;0,012;4,689026376
2;50;0,01;3,90752198
2;50;0,009;3,516769782
2;50;0,008;3,126017584
2;50;0,005;1,95376099
2;50;0,004;1,563008792
2;50;0,004;1,563008792
2;50;0,002;0,781504396
2;50;0,002;0,781504396
