DIA;CONC MARCH;CONC CIPER;MTT;%MTT
2;405;12,5;0;0
2;405;12,5;0;0
2;810;25;0,006;3,783499737
2;810;25;0,005;3,152916448
2;810;25;0,005;3,152916448
2;810;25;0,004;2,522333158
2;810;25;0,004;2,522333158
2;810;25;0,004;2,522333158
2;810;25;0,008;5,044666316
2;810;25;0,006;3,783499737
2;810;25;0,007;4,414083027
2;810;25;0,007;4,414083027
2;810;25;0,005;3,152916448
2;810;25;0,008;5,044666316
2;810;25;0,006;3,783499737
2;810;25;0,017;10,71991592
2;810;25;0,01;6,305832895
2;810;25;0,008;5,044666316
2;810;25;0;0
2;810;25;0,005;3,152916448
2;810;25;0,009;5,675249606
2;810;25;0,008;5,044666316
2;810;25;0,006;3,783499737
2;810;25;0,005;3,152916448
2;810;25;0,007;4,414083027
2;810;25;0,005;3,152916448
3;0;0;0,177;80,54607509
3;0;0;0,175;79,63594994
3;0;0;0,158;71,89988623
3;0;0;0,159;72,35494881
3;0;0;0,147;66,89419795
3;0;0;0,124;56,42775882
3;0;0;0,199;90,55745165
3;0;0;0,258;117,4061433
3;0;0;0,169;76,90557452
3;0;0;0,189;86,00682594
3;0;0;0,179;81,45620023
3;0;0;0,233;106,0295791
3;0;0;0,26;118,3162685
3;0;0;0,344;156,5415245
3;0;0;0,297;135,1535836
3;0;0;0,298;135,6086462
3;0;0;0,255;116,0409556
3;0;0;0,261;118,7713311
3;0;0;0,24;109,2150171
3;0;0;0,238;108,3048919
3;0;0;0,237;107,8498294
3;0;0;0,245;111,4903299
3;0;0;0,241;109,6700796
3;0;0;0,191;86,91695108
3;8,1;0,25;0,195;88,73720137
3;8,1;0,25;0,265;120,5915813
3;8,1;0,25;0,189;86,00682594
3;8,1;0,25;0,177;80,54607509
3;8,1;0,25;0,173;78,7258248
3;8,1;0,25;0,172;78,27076223
3;8,1;0,25;0,276;125,5972696
3;8,1;0,25;0,204;92,83276451
3;8,1;0,25;0,168;76,45051195
3;8,1;0,25;0,267;121,5017065
3;8,1;0,25;0,216;98,29351536
3;8,1;0,25;0,279;126,9624573
3;8,1;0,25;0,281;127,8725825
3;8,1;0,25;0,3;136,5187713
3;8,1;0,25;0,267;121,5017065
3;8,1;0,25;0,253;115,1308305
3;8,1;0,25;0,262;119,2263936
3;8,1;0,25;0,251;114,2207053
3;8,1;0,25;0,283;128,7827076
3;8,1;0,25;0,255;116,0409556
3;8,1;0,25;0,24;109,2150171
3;8,1;0,25;0,258;117,4061433
3;8,1;0,25;0,25;113,7656428
3;8,1;0,25;0,204;92,83276451
3;16,2;0,5;0,246;111,9453925
3;16,2;0,5;0,277;126,0523322
3;16,2;0,5;0,211;96,0182025
3;16,2;0,5;0,15;68,25938567
3;16,2;0,5;0,275;125,1422071
3;16,2;0,5;0,166;75,5403868
3;16,2;0,5;0,244;111,0352673
3;16,2;0,5;0,131;59,61319681
3;16,2;0,5;0,199;90,55745165
3;16,2;0,5;0,293;133,3333333
3;16,2;0,5;0,136;61,88850967
3;16,2;0,5;0,242;110,1251422
3;16,2;0,5;0,23;104,6643914
3;16,2;0,5;0,231;105,1194539
3;16,2;0,5;0,202;91,92263936
3;16,2;0,5;0,197;89,64732651
3;16,2;0,5;0,196;89,19226394
3;16,2;0,5;0,221;100,5688282
3;16,2;0,5;0,28;127,4175199
3;16,2;0,5;0,226;102,8441411
3;16,2;0,5;0,239;108,7599545
3;16,2;0,5;0,23;104,6643914
3;16,2;0,5;0,208;94,65301479
3;16,2;0,5;0,218;99,2036405
3;40,5;1,25;0,341;155,1763367
3;40,5;1,25;0,357;162,4573379
3;40,5;1,25;0,223;101,4789534
3;40,5;1,25;0,176;80,09101251
3;40,5;1,25;0,169;76,90557452
3;40,5;1,25;0,193;87,82707622
3;40,5;1,25;0,187;85,0967008
3;40,5;1,25;0,107;48,69169511
3;40,5;1,25;0,184;83,73151308
3;40,5;1,25;0,163;74,17519909
3;40,5;1,25;0,113;51,42207053
3;40,5;1,25;0,205;93,28782708
3;40,5;1,25;0,228;103,7542662
3;40,5;1,25;0,231;105,1194539
3;40,5;1,25;0,221;100,5688282
3;40,5;1,25;0,195;88,73720137
3;40,5;1,25;0,193;87,82707622
3;40,5;1,25;0,198;90,10238908
3;40,5;1,25;0,257;116,9510808
