DIA;CONC BCO;CONCMARCH;MTT;%MTT
6;0;0;0,56;99,86625056
6;0;0;0,525;93,6246099
6;0;0;0,55;98,08292465
6;0;0;0,527;93,98127508
6;0;0;0,576;102,719572
6;0;0;0,541;96,47793134
6;0;0;0,534;95,22960321
6;0;0;0,624;111,2795363
6;0;0;0,606;108,0695497
6;0;0;0,513;91,48461881
6;0;0;0,604;107,7128845
6;0;0;0,539;96,12126616
6;0;0;0,777;138,5644226
6;0;0;0,595;106,1078912
6;0;0;0,5;89,16629514
6;0;0;0,61;108,7828801
6;0;0;0,507;90,41462327
6;11,0019;48;0,529;94,33794026
6;11,0019;48;0,595;106,1078912
6;11,0019;48;0,557;99,33125279
6;11,0019;48;0,578;103,0762372
6;11,0019;48;0,603;107,5345519
6;11,0019;48;0,587;104,6812305
6;11,0019;48;0,578;103,0762372
6;11,0019;48;0,628;111,9928667
6;11,0019;48;0,561;100,0445831
6;11,0019;48;0,582;103,7895675
6;11,0019;48;0,613;109,3178778
6;11,0019;48;0,592;105,5728934
6;11,0019;48;0,553;98,61792243
6;11,0019;48;0,599;106,8212216
6;11,0019;48;0,578;103,0762372
6;11,0019;48;0,569;101,4712439
6;11,0019;48;0,566;100,9362461
6;11,0019;48;0,577;102,8979046
6;11,0019;48;0,567;101,1145787
6;11,0019;48;0,593;105,751226
6;11,0019;48;0,432;77,039679
6;11,0019;48;0,489;87,20463665
6;11,0019;48;0,49;87,38296924
6;11,0019;48;0,485;86,49130629
6;22,0038;96;0,451;80,42799822
6;22,0038;96;0,495;88,27463219
6;22,0038;96;0,426;75,96968346
6;22,0038;96;0,437;77,93134195
6;22,0038;96;0,495;88,27463219
6;22,0038;96;0,48;85,59964333
6;22,0038;96;0,492;87,73963442
6;22,0038;96;0,478;85,24297815
6;22,0038;96;0,435;77,57467677
6;22,0038;96;0,494;88,0962996
6;22,0038;96;0,452;80,60633081
6;22,0038;96;0,501;89,34462773
6;22,0038;96;0,464;82,74632189
6;22,0038;96;0,443;79,00133749
6;22,0038;96;0,467;83,28131966
6;22,0038;96;0,462;82,38965671
6;22,0038;96;0,459;81,85465894
6;22,0038;96;0,608;108,4262149
6;22,0038;96;0,464;82,74632189
6;22,0038;96;0,482;85,95630852
6;22,0038;96;0,426;75,96968346
6;22,0038;96;0,413;73,65135979
6;22,0038;96;0,494;88,0962996
6;22,0038;96;0,437;77,93134195
6;27,50475;120;0,421;75,07802051
6;27,50475;120;0,46;82,03299153
6;27,50475;120;0,441;78,64467231
6;27,50475;120;0,43;76,68301382
6;27,50475;120;0,454;80,96299599
6;27,50475;120;0,468;83,45965225
6;27,50475;120;0,441;78,64467231
6;27,50475;120;0,441;78,64467231
6;27,50475;120;0,429;76,50468123
6;27,50475;120;0,443;79,00133749
6;27,50475;120;0,44;78,46633972
6;27,50475;120;0,482;85,95630852
6;27,50475;120;0,425;75,79135087
6;27,50475;120;0,433;77,21801159
6;27,50475;120;0,453;80,7846634
6;27,50475;120;0,433;77,21801159
6;27,50475;120;0,427;76,14801605
6;27,50475;120;0,444;79,17967008
6;27,50475;120;0,426;75,96968346
6;27,50475;120;0,427;76,14801605
6;27,50475;120;0,422;75,2563531
6;27,50475;120;0,411;73,29469461
6;27,50475;120;0,448;79,89300045
6;27,50475;120;0,428;76,32634864
6;55,0095;240;0,218;38,87650468
6;55,0095;240;0,172;30,67320553
6;55,0095;240;0,158;28,17654926
6;55,0095;240;0,149;26,57155595
6;55,0095;240;0,145;25,85822559
6;55,0095;240;0,135;24,07489969
6;55,0095;240;0,122;21,75657601
6;55,0095;240;0,18;32,09986625
6;55,0095;240;0,149;26,57155595
6;55,0095;240;0,137;24,43156487
6;55,0095;240;0,17;30,31654035
6;55,0095;240;0,103;18,3682568
6;55,0095;240;0,131;23,36156933
6;55,0095;240;0,159;28,35488185
6;55,0095;240;0,17;30,31654035
6;55,0095;240;0,168;29,95987517
6;55,0095;240;0,128;22,82657156
6;55,0095;240;0,135;24,07489969
6;55,0095;240;0,112;19,97325011
6;55,0095;240;0,138;24,60989746
6;55,0095;240;0,148;26,39322336
6;55,0095;240;0,138;24,60989746
6;55,0095;240;0,121;21,57824342
6;55,0095;240;0,112;19,97325011
6;82,51425;360;0,132;23,53990192
6;82,51425;360;0,123;21,9349086
6;82,51425;360;0,141;25,14489523
6;82,51425;360;0,107;19,08158716
6;82,51425;360;0,159;28,35488185
6;82,51425;360;0,138;24,60989746
6;82,51425;360;0,117;20,86491306
6;82,51425;360;0,108;19,25991975
6;82,51425;360;0,121;21,57824342
6;82,51425;360;0,12;21,39991083
6;82,51425;360;0,125;22,29157379
6;82,51425;360;0,12;21,39991083
6;82,51425;360;0,11;19,61658493
6;82,51425;360;0,126;22,46990638
6;82,51425;360;0,125;22,29157379
6;82,51425;360;0,116;20,68658047
6;82,51425;360;0,121;21,57824342
6;82,51425;360;0,124;22,11324119
6;82,51425;360;0,116;20,68658047
6;82,51425;360;0,103;18,3682568
6;82,51425;360;0,109;19,43825234
6;82,51425;360;0,112;19,97325011
6;82,51425;360;0,09;16,04993313
6;82,51425;360;0,114;20,32991529
6;110,019;480;0,02;3,566651806
6;110,019;480;0,01;1,783325903
6;110,019;480;0,015;2,674988854
6;110,019;480;0,006;1,069995542
6;110,019;480;0,023;4,101649576
6;110,019;480;0,016;2,853321444
6;110,019;480;0,014;2,496656264
6;110,019;480;0,01;1,783325903
6;110,019;480;0,01;1,783325903
6;110,019;480;0,009;1,604993313
6;110,019;480;0,013;2,318323674
6;110,019;480;0,013;2,318323674
6;110,019;480;0,017;3,031654035
6;110,019;480;0,024;4,279982167
6;110,019;480;0,026;4,636647347
6;110,019;480;0,023;4,101649576
6;110,019;480;0,017;3,031654035
6;110,019;480;0,023;4,101649576
6;110,019;480;0,005;0,891662951
6;110,019;480;0,016;2,853321444
6;110,019;480;0,014;2,496656264
6;110,019;480;0,013;2,318323674
6;110,019;480;0,018;3,209986625
6;110,019;480;0,012;2,139991083
6;220,038;960;0,02;3,566651806
6;220,038;960;0,007;1,248328132
6;220,038;960;0,014;2,496656264
6;220,038;960;0,006;1,069995542
6;220,038;960;0,018;3,209986625
6;220,038;960;0,008;1,426660722
6;220,038;960;0,006;1,069995542
6;220,038;960;0,004;0,713330361
6;220,038;960;0,005;0,891662951
6;220,038;960;0,011;1,961658493
6;220,038;960;0,019;3,388319215
6;220,038;960;0,009;1,604993313
6;220,038;960;0,016;2,853321444
6;220,038;960;0,016;2,853321444
6;220,038;960;0,02;3,566651806
6;220,038;960;0,012;2,139991083
6;220,038;960;0,01;1,783325903
6;220,038;960;0,017;3,031654035
6;220,038;960;0,008;1,426660722
6;220,038;960;0,01;1,783325903
6;220,038;960;0,012;2,139991083
6;220,038;960;0,011;1,961658493
6;220,038;960;0,008;1,426660722
6;220,038;960;0,014;2,496656264
